Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Algeria,DZA,2007.0,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.BMP.FE,64.5856323242188
Algeria,DZA,2007.0,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.BMP.MA,68.4463729858398
Algeria,DZA,2007.0,Female primary school age children out-of-school (%),SE.LPV.PRIM.OOS.FE,5.09397888183594
Algeria,DZA,2007.0,Male primary school age children out-of-school (%),SE.LPV.PRIM.OOS.MA,3.18795013427734
Algeria,DZA,2011.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,490035.0
Algeria,DZA,2010.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,500165.0
Algeria,DZA,2009.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,464499.0
Algeria,DZA,2008.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,206159.0
Algeria,DZA,2007.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,170523.0
Algeria,DZA,2006.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,166205.0
Algeria,DZA,2005.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,71265.0
Algeria,DZA,2004.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,56606.0
Algeria,DZA,2003.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,50095.0
Algeria,DZA,2001.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,46670.0
Algeria,DZA,2000.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,38773.0
Algeria,DZA,1999.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,35701.0
Algeria,DZA,1997.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,33503.0
Algeria,DZA,1996.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,31897.0
Algeria,DZA,1995.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,27657.0
Algeria,DZA,1994.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,27409.0
Algeria,DZA,1993.0,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,21120.0
Algeria,DZA,2011.0,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,241922.0
